專案開發時間,是否有團隊協作,負責工程師,第一個工程師年資,第二個工程師年資,第三個工程師年資,第四個工程師年資,工程師,單位(年)
26.5,2,"B,G",8-9,0-1,,,A,15-20
56.6,4,"A,B,C,F",15-20,8-9,11-12,21-25,B,8-9
23.6,1,H,2-3,,,,C,11-12
51.3,3,"B,C,H",8-9,11-12,2-3,,D,4-5
130.58,4,"A,B,E,H",15-20,8-9,2-3,2-3,E,2-3
10.3,1,B,8-9,,,,F,21-25
15.9,1,D,4-5,,,,G,0-1
5.7,1,F,21-25,,,,H,2-3
7.1,1,A,15-20,,,,,
0.4,1,A,15-20,,,,,
85,2,"B,G",8-9,,,,,
6.7,3,"B,E,H",8-9,2-3,,,,
2,1,C,11-12,,,,,
10.8,3,"A,B,C",15-20,8-9,11-12,,,
2.2,1,C,11-12,,,,,
3.8,1,D,4-5,,,,,
0.2,1,D,4-5,,,,,
0.2,1,B,8-9,,,,,
7.7,1,D,4-5,,,,,
0.3,2,H,2-3,,,,,
0.8,1,C,11-12,,,,,
60.2,4,"A,B,C,F",15-20,8-9,11-12,21-25,,
0.4,1,B,8-9,,,,,
155.15,3,"B,G,H",8-9,,2-3,,,
47.9,2,"B,H",8-9,2-3,,,,
53.7,1,D,4-5,,,,,
56,2,"B,H",8-9,2-3,,,,
10.7,1,H,2-3,,,,,
4.9,1,H,2-3,,,,,
2.8,1,B,8-9,,,,,
0.4,1,C,11-12,,,,,
0.2,2,"A,B",15-20,,,,,
0.8,1,H,2-3,,,,,
4.1,1,H,2-3,,,,,
0.7,1,F,21-25,,,,,
0.7,1,B,8-9,,,,,
0.2,1,B,8-9,,,,,
79.2,3,"B,C,H",8-9,11-12,2-3,,,
69.8,3,"B,C,H",8-9,11-12,2-3,,,
31.9,2,"C,H",11-12,2-3,,,,
17.1,2,H,2-3,,,,,
5.9,1,H,2-3,,,,,
39.7,2,"B,C",8-9,11-12,,,,
0.9,1,D,4-5,,,,,
3,2,"C,H",11-12,2-3,,,,
2.2,2,"C,H",11-12,2-3,,,,
2.2,1,B,8-9,,,,,
